Molecule ChEMBL ID,Smiles,pIC50,BCUTs-1l,Xch-7d,BCUTd-1h,Xch-6d,BCUTc-1l,Xc-5d,SlogP_VSA2,BCUTi-1l,Xch-6dv,BCUTc-1h,BCUTse-1l,BCUTd-1l,Xc-3d,pIC50_binary
D0257,c1(c2noc([C@H]3N(C(=O)C[C@@H](Cc4c(cc(c(c4)F)F)F)[NH3+])CCC3)n2)cnccn1,8.699,1.2344761064126313,0.739443588368013,3.199751126292085,0.42978315514743,-0.4370582662450636,0.5876731123622282,43.5022855152296,10.953586793232647,0.1533567555052209,0.7043136888828327,2.436587732682519,0.9778955812816192,2.170316369819452,1
D2566,C(=O)(N1CSCC1)[C@@H]([C@@H]1C[C@H](OC(=O)Nc2c3c(ccc2)cccc3)CC1)[NH3+],5.77,0.6251107624451505,0.5863716472693905,3.239650216543809,0.3860827634879543,-0.4764546904632804,0.4396439643289407,47.22053515042938,10.338205995229997,0.2648125268256436,0.7175738342146153,2.4006681274546526,0.9772294299381687,1.6804488894411158,0
D2302,C1CC(CCS1(=O)=O)(NC(=O)C[C@@H](Cc1c(cccc1)F)[NH3+])c1cccc(c1)c1ccncc1,6.31,0.2942661125588363,0.4962422182787376,4.039233757323686,0.3312287392826324,-0.3999286009528437,0.4176908144772008,36.85650327726919,10.312103116884373,0.2334938642295018,0.7043137915945126,2.424809613036799,0.9713853224530434,3.274286275257951,0
D0094,Fc1ccc(F)cc1[C@@H]1[C@@H]([NH3+])C[C@H](CO1)N1Cc2n(ncc2C1)S(=O)(=O)C,9.155,0.2978746004526393,0.9654180325302028,4.0430108145145525,0.4994305422634658,-0.4013839756334275,0.801046273388484,47.44983052539163,10.318098415048963,0.2290698618246576,0.7074355267445387,2.4374231498563903,0.9683887279748236,3.152204479831904,1
D0687,c1(cc(c(cc1F)[C@H]1Cc2n(C[C@@H]1[NH3+])c1c([nH+]2)cc(cc1)NC(=O)C)F)F,8.066,1.1807250167021708,0.864450747410309,3.2706141569917024,0.4013747150773105,-0.3627560903676629,0.6063106309956074,16.51612020629082,10.95245087057304,0.1650687402583245,0.7100502517536822,2.43386435302479,0.9727391577804544,2.4328458645630087,1
D0727,c1ccc2c(c1)C(=O)N(C2)CCC[C@@H](C(=O)N1[C@@H](CCC1)C#N)[NH3+],8.0,1.244620225496062,0.7481779621692289,3.2166673651703253,0.4799421352091491,-0.4052279812931131,0.5255254121045234,46.78737339052503,10.949100951298329,0.2087966974820142,0.7170650213263869,2.434315680033112,0.9113350300985816,1.392767966831175,1
D0391,c1c(c(cc2c1CCN1[C@H]2C[C@@H]([C@H](C1)N1C(=O)CC[C@H](C1)C)[NH3+])OC)OC,8.432,1.1806753140439648,0.6414167545017213,3.2215103394022777,0.2347080484106438,-0.5283731408054799,0.5229772976622741,61.644545149641175,10.946856648820694,0.1417848893016858,0.7060449516526536,2.4308434101592225,0.9778643799711944,1.9710773760043283,1
D2831,c1c(nc2ccnn2c1Nc1ccc(cc1F)F)N1C[C@@H](CCC1)[NH3+],4.752,1.2331243259662363,0.6580173765688377,3.242606981006978,0.3583049857101765,-0.4225472796719584,0.3372672270190455,33.72941186383698,10.960219024793036,0.1346135268994306,0.7053045938228961,2.4419822730699337,0.9929729373743004,1.7824686264064291,0
D2787,c1c(n(c2n(c1=O)ncc2)Cc1ccc(cc1)C(=O)OCC)N1C[C@@H](CCC1)[NH3+],4.983,1.2331197092655175,0.6490928961094387,3.288246228257054,0.3481103513172724,-0.492258342780635,0.4487842234733393,45.88872024314589,10.949775280689735,0.1383350434609739,0.7053329829845281,2.434614722719352,0.9771292429530288,1.841868187902927,0
D2105,c1cc(c(cc1F)C[C@H]([C@H]1CC[C@@H](CC1)N(CC)C(=O)C)[NH3+])F,6.585,1.1734349565664914,0.2804203307853608,3.1805632238089743,0.1513747150773104,-0.4147819493509653,0.4398264056274473,29.43552752441048,10.95381915992337,0.1073895945495677,0.7035346417176144,2.43764326073663,0.9727868184934118,1.7294957522071324,0
D0827,c1(cc(c(cc1F)C[C@H](CC(=O)N1CCS[C@H]1C(=O)NCc1ccc(cc1)NC(C(=O)[O-])(C)C)[NH3+])F)F,7.886,0.6223020330973211,0.5953930253491551,4.023039008635048,0.2749716523768432,-0.6293857795276008,1.2294468672085317,51.93582338466474,10.338094044604729,0.2067249941195301,0.7043289873765931,2.4365876620025166,0.972389973092629,3.653418870925593,1
D0088,N1(CC[NH+](CC1)[C@@H]1CN[C@@H](C1)C(=O)N1CCSC1)c1cc(nn1c1cccnc1)C,9.208,0.6251093919484223,0.8297512788001399,3.226404818334839,0.6121476587466356,-0.4226481768111071,0.4674217421067184,88.55341481484693,10.33820528299565,0.3322099096176888,0.4152433040534912,2.470154032651037,0.97803791429876,1.7532907513005969,1
D0278,c1(cc(c(cc1F)C[C@H](CC(=O)N1[C@@H](C(=O)NCC1)COC(C)C)[NH3+])F)F,8.658,1.2344793561814116,0.3613879909749512,3.1986681202118867,0.1235969372995327,-0.4144337929557151,0.5325234421498555,54.598312011935775,10.953586818435523,0.0531081945517284,0.7042816620005841,2.436587751568238,0.9772353175396722,2.3142669206788304,1
D1417,C(=O)(N1CSCC1)[C@H]([C@H]1CC[C@H](NC(=O)c2cc(c(cc2)F)F)CC1)[NH3+],7.276,0.6251116160354249,0.4138504168510236,3.1838696689742783,0.2347080484106438,-0.3955837881498885,0.5880789977054109,46.972349250242125,10.338207391353937,0.2042141782047531,0.7175327203466919,2.437518392030936,0.9772542261492548,1.7961311058782297,1
